position,speed,acceleration
12078.2,4994.6,-135.4
12246.0,4996.6,4.2
12386.0,4997.0,-21.8
12498.0,4997.8,16.6
12666.0,4999.2,92.0
12806.0,5001.0,137.0
12918.0,5002.6,146.4
13030.0,5003.2,105.4
13198.2,5005.6,65.6
13338.4,5006.8,-22.0
13478.6,5006.4,-82.2
13646.8,5004.8,-139.6
13815.0,5004.8,-79.4
13955.0,5002.2,-98.4
14095.0,5002.0,-10.8
14235.0,4999.8,-77.8
14375.0,5000.8,35.8
14515.0,4999.4,-49.2
14655.0,4997.8,-54.8
14795.0,4994.0,-132.8
14934.8,4994.4,19.2
15046.6,4992.8,-12.2
15186.4,4994.2,96.0
15326.2,4994.8,71.4
15438.0,4995.8,23.4
15578.0,4995.6,-1.4
15745.8,4995.2,-46.6
15885.6,4993.4,-105.4
16025.4,4994.2,-13.6
16193.2,4996.0,85.0
16333.0,4997.0,34.4
16473.0,4998.8,60.4
16613.0,5000.6,70.0
16753.0,5001.0,16.6
16893.2,5002.4,46.6
17033.4,5004.6,80.8
17173.6,5006.2,58.8
17314.0,5008.8,93.0
17454.4,5009.0,5.4
17594.6,5009.6,21.8
17734.8,5009.0,-23.2
17875.0,5008.4,-23.2
17987.0,5006.4,-80.8
18127.0,5006.6,84.8
18239.0,5004.4,56.2
18379.0,5004.4,130.0
18491.0,5004.4,158.8
18659.0,5002.4,194.4
18799.0,5002.6,193.0
18939.0,5002.8,191.6
19079.0,5000.0,188.8
19246.8,4997.8,182.0
19386.6,4997.0,124.6
19498.4,4994.8,46.6
19666.2,4994.0,-2.6
19806.0,4992.8,-117.4
19946.0,4994.6,-8.0
20086.0,4996.0,-23.0
20254.0,4998.2,29.0
20394.0,4997.4,-28.6
20506.0,4999.2,9.6
20646.0,4997.8,-147.8
20786.0,4996.8,-127.4
20926.0,4997.6,-68.6
21066.0,5001.6,47.8
21234.2,5004.6,65.6
21374.4,5007.6,108.0
21514.6,5009.8,75.2
21654.8,5009.4,-13.8
21795.0,5007.0,-87.8
21935.0,5005.8,-46.8
22075.0,5003.8,-76.8
22215.2,5004.6,27.2
22355.4,5004.0,-20.6
22467.6,5003.8,-60.2
22607.8,5002.4,-67.0
22720.0,5001.4,-52.0
22859.8,4998.4,-61.6
22971.6,4996.8,31.4
23139.4,4994.4,46.4
23279.2,4994.4,99.8
23446.8,4993.8,83.4
23586.6,4993.6,32.8
23754.4,4993.4,-15.0
23894.2,4993.8,17.8
24034.0,4994.0,5.4
24146.0,4994.8,62.8
24286.0,4996.2,56.0
24426.0,4997.0,43.6
24566.0,4998.2,49.2
24706.0,4998.8,32.8
24874.0,4999.0,-17.8
25014.0,5000.8,67.0
25154.0,5004.4,124.4
25294.0,5005.6,49.0
25434.2,5007.2,57.2
25574.4,5010.4,112.0
25714.6,5008.8,-60.4
25854.6,5000.8,-284.8
25993.8,4970.4,-1092.2
26130.6,4887.0,-2979.2
26263.0,4725.4,-5773.6
26388.2,4470.6,-9099.0
26503.8,4125.8,-12312.2
26607.6,3707.8,-14927.2
26698.4,3245.8,-16499.6
26765.6,2860.8,-17177.0
26829.4,2378.0,-17222.2
26879.8,1895.8,-17201.6
26917.2,1430.8,-16583.2
26942.8,1007.8,-15080.6
26968.6,558.4,-12596.8
26977.0,297.2,-9327.6
26980.6,129.8,-5979.0
26981.8,42.8,-3109.2
26982.0,9.4,-1193.4
26982.0,2.4,-250.6
26982.0,1.0,-46.6
26982.0,0.4,-19.2
26982.0,0.0,-13.8
26982.0,0.0,-4.2
26982.0,0.0,0.0
26982.0,0.0,-1.4
26982.0,0.0,-2.8
26982.0,0.0,2.8
26982.0,-0.2,-4.0
26982.0,-0.2,1.4
26982.0,-0.4,-4.0
26982.0,-0.4,3.0
26982.0,-0.4,-4.0
26982.0,-0.2,4.2
26982.0,-0.2,-2.6
26982.0,-0.2,-2.6
26982.0,0.0,4.2
26982.0,-0.2,-6.6
26982.0,0.0,8.4
26982.0,-0.4,-13.6
26982.0,-0.6,-5.4
26982.0,0.0,27.4
26982.0,-1.0,-30.2
26982.0,-2.2,-42.4
26982.0,0.0,76.8
26982.0,2.2,174.0
26982.0,-1.4,22.0
26981.8,-1.4,154.8
26981.8,2.2,287.4
26981.8,2.4,162.8
26981.8,-1.4,-78.2
26981.6,-2.2,-23.4
26981.6,-1.2,31.4
26981.6,-0.6,21.8
26981.6,0.2,31.4
26981.6,1.0,28.8
26981.6,0.6,-13.6
26981.6,-1.4,-72.6
26981.4,-2.6,-45.2
26981.4,-1.4,39.6
26981.4,1.8,112.0
